mes_any,mes,any,be,codi_be,sub_be,codi_sub,export,import
12/2004,12,2004,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,284.6,312.7
11/2004,11,2004,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,297.5,351.3
10/2004,10,2004,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,293.5,311.9
09/2004,9,2004,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,299.9,312.9
08/2004,8,2004,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,243.1,305.6
07/2004,7,2004,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,269.1,314.4
06/2004,6,2004,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,263.6,340.1
05/2004,5,2004,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,246.9,326.3
04/2004,4,2004,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,248.8,321.3
03/2004,3,2004,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,273.7,321.3
02/2004,2,2004,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,233.5,273.9
01/2004,1,2004,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,227.6,258.2
12/2003,12,2003,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,241.1,282.9
11/2003,11,2003,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,268.6,300.9
10/2003,10,2003,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,312.2,331.1
09/2003,9,2003,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,277.5,315.7
08/2003,8,2003,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,234.5,279.4
07/2003,7,2003,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,289.6,319.8
06/2003,6,2003,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,242.6,287
05/2003,5,2003,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,247.2,298.8
04/2003,4,2003,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,229.9,288.9
03/2003,3,2003,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,241.8,283.1
02/2003,2,2003,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,233.5,249.1
01/2003,1,2003,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,236.8,232.4
12/2002,12,2002,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,213.3,269.9
11/2002,11,2002,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,254.4,281.6
10/2002,10,2002,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,276.8,315.3
09/2002,9,2002,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,230.4,277.4
08/2002,8,2002,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,217.4,262.8
07/2002,7,2002,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,256,290.2
06/2002,6,2002,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,218.7,268.1
05/2002,5,2002,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,242.2,295.1
04/2002,4,2002,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,228.5,300.2
03/2002,3,2002,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,234.8,261.3
02/2002,2,2002,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,216.4,238
01/2002,1,2002,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,223,237.2
12/2001,12,2001,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,193,271.1
11/2001,11,2001,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,250.5,282.4
10/2001,10,2001,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,263.8,318.1
09/2001,9,2001,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,223.7,267.5
08/2001,8,2001,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,222.9,313.5
07/2001,7,2001,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,237.4,297.4
06/2001,6,2001,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,243,277.1
05/2001,5,2001,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,250,303.7
04/2001,4,2001,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,229.4,264.5
03/2001,3,2001,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,258.6,254.4
02/2001,2,2001,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,214.5,228.4
01/2001,1,2001,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,216.9,231.3
12/2000,12,2000,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,200.4,245.3
11/2000,11,2000,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,251.6,269.4
10/2000,10,2000,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,235.2,255.6
09/2000,9,2000,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,215.7,239.4
08/2000,8,2000,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,206.5,223.6
07/2000,7,2000,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,205.3,247
06/2000,6,2000,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,219.9,231.1
05/2000,5,2000,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,229.1,262.6
04/2000,4,2000,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,187.5,199.5
03/2000,3,2000,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,202.8,210.5
02/2000,2,2000,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,190.7,185.4
01/2000,1,2000,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,160.4,167.6
12/1999,12,1999,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,180,241.7
11/1999,11,1999,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,194.3,232.3
10/1999,10,1999,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,206.1,227
09/1999,9,1999,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,199.5,208.8
08/1999,8,1999,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,155.6,189.8
07/1999,7,1999,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,189,220.5
06/1999,6,1999,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,179.9,225.5
05/1999,5,1999,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,177.1,206.7
04/1999,4,1999,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,158,221.2
03/1999,3,1999,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,185.7,215.6
02/1999,2,1999,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,148,179.5
01/1999,1,1999,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,133.5,162.1
12/1998,12,1998,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,148,214.8
11/1998,11,1998,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,153.7,210.1
10/1998,10,1998,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,167.7,213.7
09/1998,9,1998,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,161.1,205.3
08/1998,8,1998,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,143.8,182.4
07/1998,7,1998,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,185.6,215.2
06/1998,6,1998,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,183.1,191.6
05/1998,5,1998,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,173.3,199
04/1998,4,1998,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,174.1,196.4
